Accession,X20141222_WOS521,X20141222_WOS526,X20141222_WOS5211,X20141222_WOS5216,X20141222_WOS522,X20141222_WOS527,X20141222_WOS5212,X20141222_WOS5217,X20141222_WOS523,X20141222_WOS528,X20141222_WOS5213,X20141222_WOS5218
Cre07.g353450.t1.2|PACid:30774591|,10271.8209943713,9755.25868436799,9757.58120876178,9806.4238217239,9446.29226446608,9601.60585897865,9711.72700360892,9705.29212961163,9631.23461800011,9349.27471501687,9587.0836140241,9748.20764615346
Cre05.g234550.t1.2|PACid:30783068|,53004.7883883503,49546.9409636992,50175.3163703276,48110.3461163969,48210.1324717038,46946.6174889375,51613.4629463001,50582.4714240396,49978.2049799766,46867.4367287751,50193.7389924576,48435.1470970713
Cre06.g282800.t1.2|PACid:30779483|,32687.4368248988,32593.5397104647,31501.9350212084,30952.8001896079,31028.5312187221,31369.4867857737,31693.2406826039,30837.3076624014,30784.2308348511,30486.189576297,32103.3734101306,30792.5453288024
gi|41179050|ref|NP_958406.1|,52405.6010832989,48893.0096088192,49567.7990129806,50034.8103337986,47624.43207696,46835.8383070967,49062.2665583862,49161.4690029995,48148.9531931284,46625.1560008018,48161.7298563528,48648.9778072477
P02788ups|TRFL_HUMAN_UPS,2970.51244925919,2641.10308499296,2411.16815000867,2741.69864756884,5015.20804931092,5136.57504523557,5080.75460971963,5552.67636978385,8848.27448888698,9040.53592787855,8989.27946011393,9362.5951792142
Cre02.g116750.t1.1|PACid:30784898|,11090.9605841608,10509.6975322002,10477.2107643122,10568.5620929783,10457.7275917066,10407.6787243331,10687.3202470838,10288.6090610387,10279.5481622124,10398.8087795212,10848.2016190028,10422.154706801
Cre07.g339150.t1.1|PACid:30775388|,5294.75210026961,4678.73606833592,4852.27000065507,4818.93278704506,5023.4010408889,4549.42329149553,4710.84464674232,5425.37173498867,5029.0834609575,4882.7937356544,4908.42477806723,4821.79691721963
gi|41179032|ref|NP_958388.1|,38875.9649692401,37478.707411979,38125.8516987167,38222.326230941,36052.5267089382,35946.7421043532,37371.0643117944,35657.902134514,33985.0064656964,35371.713700967,36111.2953625578,36620.796331126
Cre12.g514050.t1.2|PACid:30792611|,1178.54317542618,1178.71933689476,1136.31038143698,1199.35150043172,1100.69058229258,1066.1405353577,1152.15901006667,1118.60745346215,1102.12119912424,1099.49815984087,1187.23265574437,1180.9346812797
Cre04.g229300.t1.1|PACid:30791545|,11989.8224529846,12032.010710568,12281.2725869903,12514.3057674089,11578.4570687626,11983.2127166699,11952.9657711069,12384.4253370694,11596.5247522082,11411.1744418862,12079.3475088605,11851.6534068041
Cre03.g194850.t1.2|PACid:30788115|,15560.0087112764,14480.0644969592,15014.3402066924,14443.499944745,15121.080299141,14277.7639455221,14813.6280772656,15014.8332315684,14764.2180605674,14349.0211457112,15462.4350630525,14636.0517837515
Cre12.g542250.t1.1|PACid:30793243|,19308.8911776321,18156.5390481983,18414.8866870873,18974.7476386762,17613.0520663975,17860.9784887191,18281.5094633457,18818.7494657311,18012.1128241352,17740.9831390781,18227.0080536792,18443.214156318
Cre09.g396213.t1.1|PACid:30780284|,84069.1159417558,79425.9786550087,78523.494159044,81102.4092605636,79717.7553012584,77761.8198802974,76566.1766424678,77637.3573929414,75445.4544417822,75742.215295498,74549.0309539333,78835.4677509862
Cre09.g393150.t1.2|PACid:30780797|,48948.4031849983,46934.9011349018,47496.6677789722,47353.0327459626,47386.8679309622,46640.6467681343,46601.402318702,47873.7139323048,48706.8422831243,45450.68333644,48087.0964206832,47519.2804207723
Cre17.g698000.t1.2|PACid:30782086|,13501.3553920366,12939.7302002655,12695.2795766005,13051.8346565987,12615.7398119097,12361.0099451639,13133.5916241505,12840.8440290523,12722.5318033825,12209.303428686,12666.9697773377,12727.8252603118
Cre12.g513200.t1.2|PACid:30792008|,10400.2748381667,9827.50872375746,9570.53268981019,9568.21211653184,9305.98839578908,9494.59180877497,9838.13161703071,9879.04319804032,9498.9992156781,9437.43368887359,9633.11695064727,9579.7344224928
Cre02.g141400.t1.2|PACid:30784858|,12743.4276311024,12091.4525232333,11849.3313510289,12013.8948112144,11451.8139716572,11423.4672418721,11700.5507907384,11837.2513916131,10965.7243122784,11517.5696131573,11264.0205440882,12088.9858274205
Cre06.g269050.t1.2|PACid:30779340|,3066.06353594233,2903.41193054283,2855.04082764421,2955.12201090944,2972.74233936835,2300.41538323775,2990.66058968366,2986.48188488485,2940.62803755532,3005.70892301417,2930.42316443717,2941.04813600781
Cre12.g490350.t1.1|PACid:30792879|,1790.39390943614,1688.26255799142,1735.66748969573,1859.5120909529,1660.86932210678,1645.90688058618,1698.94939412955,1854.8083545977,1644.77246588241,1642.39651908875,1681.53374275402,1677.6240324763
Cre17.g720250.t1.2|PACid:30782643|,30493.9065240844,27891.3832028325,27051.8198858758,29079.0836134951,26645.075167852,26964.2905861809,27320.0633434486,27725.9990498099,25668.4732095996,26688.9983936687,26136.4498146597,27690.4553866007
Cre04.g231222.t1.1|PACid:30791114|,4227.04735939286,3882.50428033218,3710.70552459561,3734.02299456073,3631.19632517394,3879.0741754551,3886.9523943647,3811.83011967046,3756.64684879013,3761.37687782239,3921.37543403822,3735.29639390415
Cre02.g081250.t1.2|PACid:30785406|,2325.72885835045,2198.11206990156,2343.01964615582,2340.08025342599,2280.09085197454,2213.01110549707,2182.69518215028,2256.36902540385,2261.36979184848,2223.28552516138,2343.338661434,2273.41830649503
Cre08.g358580.t1.1|PACid:30774147|,1699.6352829222,1579.85236867147,1641.18579886449,1703.83048092371,1556.29546550544,1514.41507101594,1568.33902731921,1539.99064172734,1592.30655568047,1400.06498965702,1479.71371875412,1400.91403132654
Cre07.g325500.t1.1|PACid:30775304|,1673.55023412486,1651.58204786401,1714.65409569698,1617.41017193703,1589.68804196019,1558.72471817464,1560.58386028735,1524.95983937977,1502.03151382903,1577.41537107165,1682.89226271302,1579.3365153506
gi|41179007|ref|NP_958362.1|,21490.1435813599,20456.9894201506,20760.8393326084,20560.4433888768,19769.0640413176,20188.9768046746,21072.5609971894,20549.7442546066,20027.0641821013,20090.0684680976,20109.5198102091,20175.1502581203
Cre01.g050950.t1.2|PACid:30789075|,6999.50844784159,6531.18962018456,6660.3609331677,6699.68707054363,6594.39739531319,6402.5229602916,6691.28381688795,6515.13783784037,6480.15391464415,6499.49144536428,6502.09695381318,6689.68341459386
Cre03.g144807.t1.1|PACid:30786652|,8783.28510895085,8091.05157281594,8287.54611660293,8266.1860061612,8322.60215274553,7833.31269462824,8158.27087789266,8021.06821572138,7857.49381036203,7761.83564016331,7897.46290892335,7775.37863152324
