,,,,,,,,,"Normalized abundance",,,,,,,,,,,,,,,,,,,,"Raw abundance",,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Condition 1",,,,,"Condition 2",,,,,"Condition 3",,,,,"Condition 4",,,,,"Condition 1",,,,,"Condition 2",,,,,"Condition 3",,,,,"Condition 4",,,,
"Accession","Peptide count","Unique peptides","Confidence score","Anova (p)","Max fold change","Highest mean condition","Lowest mean condition","Description","20170312_ctrl_1","20170312_ctrl_2_1","20170312_ctrl_3","20170312_ctrl_4","20170312_ctrl_5_1","20170312_azd_1","20170312_azd_2","20170312_azd_3","20170312_azd_4","20170312_azd_5","20170312_torin_1","20170312_torin_2","20170312_torin_3","20170312_torin_4","20170312_torin_5","20170312_rap_1","20170312_rap_2","20170312_rap_3","20170312_rap_4","20170312_rap_5_1","20170312_ctrl_1","20170312_ctrl_2_1","20170312_ctrl_3","20170312_ctrl_4","20170312_ctrl_5_1","20170312_azd_1","20170312_azd_2","20170312_azd_3","20170312_azd_4","20170312_azd_5","20170312_torin_1","20170312_torin_2","20170312_torin_3","20170312_torin_4","20170312_torin_5","20170312_rap_1","20170312_rap_2","20170312_rap_3","20170312_rap_4","20170312_rap_5_1"
"tr|A0A2K3D3E1|A0A2K3D3E1_CHLRE;tr|A0A2K3DMU6|A0A2K3DMU6_CHLRE","50","49","2540.14","0.290450121468542","3.03840741945624","Condition 1","Condition 3","Uncharacterized protein OS=Chlamydomonas reinhardtii OX=3055 GN=CHLRE_12g498600v5 PE=4 SV=1","9140.18957858883","68506.1089060744","10563.3236605941","12547.9321433594","17024.7022503707","46338.9373835441","9414.01895613686","7333.60030051558","6801.7400126056","8515.1365085598","7347.99989964377","7838.20165064751","8252.38932987843","6090.41705710027","9235.46314214372","11829.0521678908","10388.2788059293","6196.16941978061","23182.8203328728","15718.4393574347","8177.52996657646","56096.2609725222","10231.1889918176","12547.9321433594","17186.5570437339","51697.7460759561","6798.06916335287","6093.44914959359","6501.46563075319","10722.5264147409","6350.15136134484","9376.44688657371","10930.2313973529","8332.04654783536","13669.6891347483","12949.5092751005","9745.10390096672","5028.28048532836","22080.105635342","20414.0208753821"
"tr|A8JH37|A8JH37_CHLRE","47","45","2103.52","0.564771822033263","1.54555144017864","Condition 3","Condition 2","Cobalamin-independent methionine synthase OS=Chlamydomonas reinhardtii OX=3055 GN=METE PE=4 SV=1","2950.18460690396","4067.89732495742","2908.89839846869","3091.46499999974","2547.83607835704","3561.64799607943","1958.76822241403","1805.2353850336","1952.09051200569","3379.41819956925","3608.63825694359","4385.16853003419","2358.89332572832","2300.9406344077","6908.65160646402","1724.06419305763","2678.58529637398","2083.34367465163","8740.38104895746","3127.38638172821","2639.46637238289","3330.99972533986","2817.43608630987","3091.46499999974","2572.05849798712","3973.53034207989","1414.46941131003","1499.96039748388","1865.91215606645","4255.46917244504","3118.59001808674","5245.7568257565","3124.33755379568","3147.82128874745","10225.7048019274","1887.36890682334","2512.74465273953","1690.66331692621","8324.63583304695","4061.63292870346"
"tr|A0A2K3E226|A0A2K3E226_CHLRE","45","44","1509.83","0.21983104443813","1.81987052773938","Condition 2","Condition 3","Uncharacterized protein OS=Chlamydomonas reinhardtii OX=3055 GN=CHLRE_02g097800v5 PE=4 SV=1","13547.958670886","9677.29910691192","14811.6013324809","10691.121359969","15399.9532452731","9529.10944288228","17002.8784213986","48718.2277264579","18628.8211492927","15408.2662511224","14666.1423826912","12927.0652163995","10190.6889575844","13902.5542939599","8365.78985843871","5457.02908108413","17414.1030165197","14422.3074397466","13655.591627225","9251.83134295826","12121.0656589264","7924.26113348194","14345.8912529001","10691.121359969","15546.3614592705","10631.0914346315","12278.150705167","40479.7140755846","17806.4201541244","19402.5711410426","12674.4999032511","15463.9987337951","13497.4955679275","19019.5069442804","12382.4593278538","5973.92315944042","16335.9346055732","11703.9096479792","13006.0493638332","12015.6380589611"
"tr|A8JHX9|A8JHX9_CHLRE","43","42","2051.18","0.827259835987582","1.12951044586662","Condition 2","Condition 4","Elongation factor 2 OS=Chlamydomonas reinhardtii OX=3055 GN=EFG2 PE=4 SV=1","4674.75484686206","4215.12507418069","3478.25222447698","3749.29520645091","5333.08076273876","4150.05540917433","5268.80254491569","3536.95469462694","4221.75562652006","6719.53830929033","2997.39454341169","4128.40009545501","4421.58768890269","5574.50881717187","4257.7587076096","3462.07804398209","3133.0979601709","5401.44710999627","4825.35978452572","4335.06498165007","4182.40207360284","3451.55724020541","3368.8881466908","3749.29520645091","5383.78265885111","4629.98339752247","3804.71765303144","2938.83668225147","4035.3790436551","8461.45296012585","2590.35238164009","4938.59764610189","5856.36167314772","7626.25391833326","6302.0378131552","3790.00879405721","2939.11683775232","4383.35191562421","4595.83658247919","5630.08228865192"
"tr|A8ISZ1|A8ISZ1_CHLRE","42","40","1953.33","0.487717738985471","1.29948793103572","Condition 3","Condition 4","Elongation factor EF-3 OS=Chlamydomonas reinhardtii OX=3055 GN=CHLRE_04g222700v5 PE=4 SV=1","37822.6410697721","24095.8848009044","37408.9644533652","37625.5096422685","36393.6624785536","19378.0506489633","33534.0590283144","37191.7087068507","45863.5247936065","46337.4184784165","46766.7291516677","36226.4355041427","48204.7117128902","41685.0310214608","34343.8865504797","34860.4468331643","47571.9006991097","42883.1819448434","10326.2463957233","23826.2645694259","33839.0990803584","19730.9271208003","36232.7424216252","37625.5096422685","36739.6590565592","21619.0011783239","24215.6780929181","30902.3912546419","43838.8014828875","58349.5277058994","40415.8700114443","43335.8649769391","63846.8002905456","57027.5591248487","50833.4282318567","38162.4557228323","44626.5568858907","34800.3181181053","9835.06786319845","30943.9029691315"
"tr|A8J5B8|A8J5B8_CHLRE","41","41","2079.7","0.124996039703677","1.68622426361001","Condition 2","Condition 4","Predicted protein OS=Chlamydomonas reinhardtii OX=3055 GN=CHLRE_12g528000v5 PE=4 SV=1","23860.0574923839","9265.68470670426","20718.9120881265","26003.87957545","18377.2699897034","20265.4339254959","31368.3057321107","46975.9892299853","36438.844679875","25454.6525872679","39064.7135943605","30638.3000217773","32566.2247234126","25122.8623074016","15789.7113740122","29121.3151832501","34091.3337663381","7046.68194679511","7941.17243042695","16984.4786583953","21347.077483521","7587.21047941903","20067.4628639139","26003.87957545","18551.9837199654","22609.0047885174","22651.7402288718","39032.0974548678","34830.1899030991","32053.2952666893","33759.7778442813","36651.0592165453","43133.7346962445","34369.5441868132","23370.8307518669","31879.7090177902","31980.6193000787","5718.48361768004","7563.4423946107","22058.2650736229"
"tr|A0A2K3DMT2|A0A2K3DMT2_CHLRE","40","38","2129.86","0.541484451874094","1.59517059324126","Condition 4","Condition 3","Uncharacterized protein OS=Chlamydomonas reinhardtii OX=3055 GN=CHLRE_06g263250v5 PE=4 SV=1","8494.15208070506","38218.9165881351","5579.25499655154","8068.04854099163","14901.9774132481","21350.5181085093","9794.92217237877","8371.87822946183","9331.65286380554","9925.99450480181","8723.24647304507","9676.3595890809","13291.4750039646","10465.4117964034","10615.0415922951","20689.6881455135","10874.1493506902","9263.35769573594","19511.1909577805","23841.2137727774","7599.53418727095","31295.5786461984","5403.83066327923","8068.04854099163","15043.6513432501","23819.5721802586","7073.12771386366","6956.14871105381","8919.69117603924","12499.122963363","7538.64129323671","11575.3428893871","17604.4647917267","14317.2950903652","15711.645045385","22649.4316481685","10200.8924901613","7517.34782806092","18583.1210885177","30963.3179595353"
"tr|A0A2K3DCH9|A0A2K3DCH9_CHLRE;tr|A0A2K3CNK7|A0A2K3CNK7_CHLRE","40","38","1925.86","0.00397109880259527","2.66575716461188","Condition 1","Condition 3","Uncharacterized protein OS=Chlamydomonas reinhardtii OX=3055 GN=CHLRE_09g392867v5 PE=4 SV=1","2783.8787942326","11727.0289682917","4225.39104672141","3191.22007693162","5416.63469051553","2696.54939318574","2213.67269547728","1222.70477610465","1903.10630569446","2719.63910141278","1679.83316291211","1846.27864765057","2230.65515768786","2694.8131313294","1805.97596729986","5186.97294671041","3390.42225093324","2674.95290829404","3545.82069892076","3312.05310488531","2490.67615801779","9602.68343863401","4092.53524291892","3191.22007693162","5468.1309384771","3008.38848884989","1598.54151122888","1015.93883943131","1819.09044085946","3424.65468100792","1451.7140707658","2208.61039931023","2954.48700571501","3686.66188824922","2673.07980962664","5678.28709602335","3180.5092759578","2170.76270784466","3377.16008975561","4301.46528456228"
